iter	Passed	Remaining
1257	43472	215909
1258	43486	215775
1259	43545	215863
1260	43561	215733
1261	43624	215841
1262	43639	215711
1263	43654	215580
1264	43715	215676
1265	43731	215546
1266	43790	215633
1267	43805	215502
1268	43867	215602
1269	43881	215470
1270	43942	215565
1271	43958	215437
1272	43973	215306
1273	44033	215399
1274	44048	215269
1275	44108	215358
1276	44123	215227
1277	44184	215323
1278	44200	215197
1279	44261	215292
1280	44277	215163
1281	44291	215033
1282	44352	215125
1283	44367	214996
1284	44428	215089
1285	44443	214961
1286	44502	215045
1287	44517	214916
1288	44581	215021
1289	44596	214891
1290	44611	214763
1291	44670	214847
1292	44685	214718
1293	44747	214816
1294	44762	214688
1295	44820	214764
1296	44835	214636
1297	44855	214533
1298	44910	214595
1299	44925	214468
1300	44989	214574
1301	45004	214445
1302	45066	214540
1303	45081	214411
1304	45139	214490
1305	45154	214364
1306	45170	214238
1307	45229	214323
1308	45245	214197
1309	45308	214296
1310	45323	214169
1311	45384	214261
1312	45399	214134
1313	45459	214219
1314	45474	214093
1315	45537	214190
1316	45552	214063
1317	45572	213962
1318	45626	214016
1319	45640	213889
1320	45702	213982
1321	45717	213855
1322	45776	213932
1323	45791	213807
1324	45855	213911
1325	45870	213785
1326	45885	213658
1327	45947	213752
1328	45962	213627
1329	46021	213707
1330	46036	213582
1331	46097	213668
1332	46112	213543
1333	46174	213634
1334	46189	213509
1335	46204	213386
1336	46265	213472
1337	46280	213347
1338	46340	213427
1339	46355	213303
1340	46414	213379
1341	46428	213254
1342	46449	213153
1343	46504	213214
1344	46519	213088
1345	46582	213186
1346	46597	213061
1347	46658	213146
1348	46673	213022
1349	46732	213101
1350	46748	212979
1351	46762	212854
1352	46823	212937
1353	46838	212814
1354	46900	212903
1355	46915	212779
1356	46973	212853
1357	46988	212730
1358	47051	212822
1359	47066	212697
1360	47081	212576
1361	47141	212657
1362	47156	212535
1363	47216	212614
1364	47231	212490
1365	47290	212565
1366	47306	212446
1367	47370	212542
1368	47384	212418
1369	47405	212320
1370	47459	212373
1371	47474	212252
1372	47535	212335
